id,source,ville,titre,texte,date_detectee,publie_le,dj_detecte,lien,statut,vu_le,heure_debut,heure_fin,adresse,dj_ou_animation,notes_validation
c57be1229960413a877cfb43552959a9,Danse Extatique Québec (DEQ),Québec,Danse-Extatique Québec Posted,"(lien vers une page événement Facebook — ouvre le lien pour voir la date, l'heure et l'adresse complètes)",,2026-09-06,,https://m.facebook.com/events/979786945142958/,rejeté,2026-09-23,,,,,9 mai 2026 (déjà passé) — vérifié au navigateur
c2a535d88eef547d9d366f3f1c54a15f,Danse Extatique Québec (DEQ),Québec,"Dj Gandalf nous propose une ambiance ✨lumineuse, joyeuse et élevante✨ pour clore notre 9e printemps de Danse Extatique à...","Dj Gandalf nous propose une ambiance ✨lumineuse, joyeuse et élevante✨ pour clore notre 9e printemps de Danse Extatique à... <div><img src=""https://scontent-ams2-1.xx.fbcdn.net/v/t39.30808-6/692022559_10162284735256975_4938253212353121629_n.jpg?stp=dst-jpg_s960x960_tt6&amp;_nc_cat=102&amp;ccb=1-7&amp;_nc_sid=405ec2&amp;_nc_ohc=2pp8dmFnOB4Q7kNvwHqYz3J&amp;_nc_oc=AdrrAdXdNWcReDxyEQokgdlD8GGVAc6o7jAxLvqJtM-f_g1jGBKB7Ly4Tm2zQmSrb6zTnwEhLoDb_IWu8WihDbd1&amp;_nc_zt=23&amp;_nc_ht=scontent-ams2-1.xx&amp;",,2026-05-09,Gandalf,https://m.facebook.com/danse.extatique/posts/pfbid02KfnW8b4b8cyaCwgKettwNoTHKS9dJWyx8EdKRFQ9ev64yCXVmrHQ9wx9eS9V7UFrl,à valider,2026-09-23,,,,,
e18fa8edec85956a47b6645341fed554,Danse Extatique Québec (DEQ),Québec,Dj Gandalf nous partagera sa musique samedi pour notre dernière danse extatique de la saison! C'est un rendez-vous! 💃🎶...,"Dj Gandalf nous partagera sa musique samedi pour notre dernière danse extatique de la saison! C'est un rendez-vous! 💃🎶... <div><img src=""https://scontent-ams2-1.xx.fbcdn.net/v/t39.30808-6/671068707_1418984000226532_1147804154441105677_n.jpg?stp=dst-jpg_p180x540_tt6&amp;_nc_cat=109&amp;ccb=1-7&amp;_nc_sid=1abd25&amp;_nc_ohc=jsriXXMpUzwQ7kNvwEcBGX_&amp;_nc_oc=AdocnaxSg6ygAtGOD1qkkot8eiixuf0t0ANHW7zUqJJ_r-je8jdQ2OBIlmQ7Xx-fwpWW9DRG5qA5otzBT5HQkFKf&amp;_nc_zt=23&amp;_nc_ht=scontent-ams2-1.xx&amp;_nc",,2026-05-04,Gandalf,https://m.facebook.com/danse.extatique/posts/pfbid032FbDigs8HN7ejE7Pt2FCmLbuJDdogtsPwzNYU4rEae2g4wgjDf23D5sJAVbsXY85l,à valider,2026-09-23,,,,,
80e67c760fc47dc73892e5b4887d3706,Danse Extatique Québec (DEQ),Québec,Danse-Extatique Québec Posted,"(lien vers une page événement Facebook — ouvre le lien pour voir la date, l'heure et l'adresse complètes)",,2026-04-13,,https://m.facebook.com/events/1680345109638100/,rejeté,2026-09-23,,,,,9 mai 2026 (déjà passé) — vérifié au navigateur
d3299c50e0dde6f0e056956197de9c61,Danse Extatique Montréal,Montréal,"DRAGONFLY — le festival underground qui gagne à être vécu — en est à sa 4e édition.  Quatre jours de musique live, danse...","DRAGONFLY — le festival underground qui gagne à être vécu — en est à sa 4e édition.  Quatre jours de musique live, danse... <div><img src=""https://scontent-ams2-1.xx.fbcdn.net/v/t39.30808-6/758564114_2776808339356650_981254019397880820_n.jpg?stp=dst-jpg_s1080x2048_tt6&amp;_nc_cat=100&amp;ccb=1-7&amp;_nc_sid=1abd25&amp;_nc_ohc=lcGmZ8qdYDwQ7kNvwGVqtK4&amp;_nc_oc=AdpdX9pv4xdpgwIKIc_hSVoZhYWhCQkXWamfq5L0YgIOxsphYuDhMNvyzDzR1baCyiI2wM1YfwsI5tqvwvq7hZId&amp;_nc_zt=23&amp;_nc_ht=scontent-ams2-1.xx&amp;",,2026-08-21,,https://m.facebook.com/danse.extatique.montreal.ecstatic.dance/posts/pfbid01Ewt6JNUcLn5rMrn7uSfZUpPszuN4NiaaX6ocEiN1R59qZEei8M2SNSFTUohugAGl,à valider,2026-09-23,,,,,
63ee44cbe3d8013b49ee6c28792bb354,Danse Extatique Montréal,Montréal,Demain mercredi à Plein Soleil.  Une dj internationale tout droit venu d’un des groupes de danse absolument allumé qu’es...,"Demain mercredi à Plein Soleil.  Une dj internationale tout droit venu d’un des groupes de danse absolument allumé qu’es... <div><img src=""https://scontent-ams2-1.xx.fbcdn.net/v/t39.30808-6/759476769_1090224730623737_4374418538050064538_n.jpg?stp=dst-jpg_s1080x2048_tt6&amp;_nc_cat=111&amp;ccb=1-7&amp;_nc_sid=1abd25&amp;_nc_ohc=q0GscUbARm4Q7kNvwGMZfir&amp;_nc_oc=Adrk_MmuYAGATSo8JH1TU_ArbyRRPwgIMDoCgiWfxBkpg2W95Tc6KGazHbTVEZ7PCo9fd0LumSPxLPf9WPtUCFjc&amp;_nc_zt=23&amp;_nc_ht=scontent-ams2-1.xx&amp",,2026-08-04,,https://m.facebook.com/danse.extatique.montreal.ecstatic.dance/posts/pfbid02fGSgvihomFBofV3s6ASDjFFDTSWssne7SkN7Qxh6R3DkK9qdsQmCUzpGPNGWSrq9l,à valider,2026-09-23,,,,,
f5d86bb019440a7e4c9fb6e3aab42524,Danse Extatique Montréal,Montréal,"This sunday, the last Ecstatic Dance Mayhem at sudio 303. Let's dance...  https://www.facebook.com/events/27003499670123...","This sunday, the last Ecstatic Dance Mayhem at sudio 303. Let's dance...  https://www.facebook.com/events/27003499670123... <div><img src=""https://scontent-ams2-1.xx.fbcdn.net/v/t39.30808-6/700997755_1105138926021484_9077149777930081342_n.jpg?stp=dst-jpg_p180x540_tt6&amp;_nc_cat=102&amp;ccb=1-7&amp;_nc_sid=1abd25&amp;_nc_ohc=MAUMNp0tb9QQ7kNvwHNLZQN&amp;_nc_oc=AdovZwgUa8n9ChYCnwbsylIOmPJmNu90xHw0ku19rQWDY9U7GEMb2P1N27dO2AhzBOYowGBCUMI1KV4rUAtR6DBx&amp;_nc_zt=23&amp;_nc_ht=scontent-ams2-1.xx&amp;_",,2026-06-12,,https://m.facebook.com/danse.extatique.montreal.ecstatic.dance/posts/pfbid0xvHmdBtCW2sNHVyzP1aCX8vbvb5NYpYchgvy8bpY4cb7kKURhTg6gEUUNdnPSbcXl,à valider,2026-09-23,,,,,
d8b70e9cfbedf47b66ca50e4c01f0d75,Danser à Sherbrooke,Sherbrooke,Demande de bénévolat : besoin d'aide pour amener du stock à Sercovie vers 17h (avec voiture). Billet offert pour la dans...,"Demande de bénévolat : besoin d'aide pour amener du stock à Sercovie vers 17h (avec voiture). Billet offert pour la dans... <div><img src=""https://scontent-xxc1-1.xx.fbcdn.net/v/t39.30808-6/798018666_122191917518763676_1962675465055943023_n.jpg?_nc_cat=110&amp;ccb=1-7&amp;_nc_sid=ebae6b&amp;_nc_ohc=DgLeeKobct8Q7kNvwFtLK2c&amp;_nc_oc=AdpOi5yauKd0aJrvx5Z45KPtM2sG7LAcN_azm9Ui43g1qNdfHW1iVmOjuMA19uoI9fA&amp;_nc_zt=23&amp;_nc_ht=scontent-xxc1-1.xx&amp;_nc_gid=872mQOXbb4GiDosWJ6HTPQ&amp;_nc_ss=79289&a",,2026-09-05,,https://m.facebook.com/permalink.php?id=61572910285435&story_fbid=pfbid02U8MeFjh7XeTTW8fziA9p3i8BqDm7oEcLmrWXoLDg5YXhQyq6ZkDyvZYtK2WErFcGl,à valider,2026-09-23,,,,,
aec216cd2bc744eadeed85ad04c84c6b,Ecstatic Dance Mayhem,À confirmer,I’ve been swimming with this idea for a long time now and it’s time to come to life tomorrow night. I’ve very excited to...,"I’ve been swimming with this idea for a long time now and it’s time to come to life tomorrow night. I’ve very excited to... <div><img src=""https://scontent-lga3-1.xx.fbcdn.net/v/t39.30808-6/747168617_1205194622682580_8782536599537333720_n.jpg?stp=dst-jpg_p180x540_tt6&amp;_nc_cat=109&amp;ccb=1-7&amp;_nc_sid=1abd25&amp;_nc_ohc=nqbcHetibjoQ7kNvwEzpeuE&amp;_nc_oc=Adp9o-b7fzwljWW_oBupLyOEX4xBaA7e-_KAxkFap8uyKEfs3nFppb6PGgBMysc1eO0&amp;_nc_zt=23&amp;_nc_ht=scontent-lga3-1.xx&amp;_nc_gid=kJc3NIBkEpEMsw",,2026-07-20,,https://m.facebook.com/EcstaticDanceMayhem/posts/pfbid08N67EzXtdmtE9rNUmvoE9K6vp4MgLWbg6t79E7DpsrWCu1mAYpcnirS7E6wUe5yzl,à valider,2026-09-23,,,,,
8995c3a0ddead3d82742698926db9222,Ecstatic Dance Mayhem,À confirmer,Ecstatic Dance Mayhem Posted,"(lien vers une page événement Facebook — ouvre le lien pour voir la date, l'heure et l'adresse complètes)",,2026-07-16,,https://m.facebook.com/events/1654430212316426/,rejeté,2026-09-23,,,,,21 juillet 2026 (déjà passé) — vérifié au navigateur
